,Total population,Hispanic or Latino,"Total population, not Hispanic or Latino",One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races
"Block 2008, Block Group 2, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 2009, Block Group 2, Census Tract 102, San Francisco County, California",412,25,387,401,350,4,1,41,2,3,11
"Block 2010, Block Group 2, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3000, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3001, Block Group 3, Census Tract 102, San Francisco County, California",99,3,96,96,69,0,1,25,1,0,3
"Block 3002, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3003, Block Group 3, Census Tract 102, San Francisco County, California",277,21,256,260,222,1,0,34,0,3,17
"Block 3004, Block Group 3, Census Tract 102, San Francisco County, California",143,4,139,140,120,1,0,19,0,0,3
"Block 3005, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3006, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3007, Block Group 3, Census Tract 102, San Francisco County, California",101,2,99,92,82,1,0,9,0,0,9
"Block 3008, Block Group 3, Census Tract 102, San Francisco County, California",216,8,208,206,178,1,0,23,0,4,10
"Block 3009, Block Group 3, Census Tract 102, San Francisco County, California",14,2,12,14,13,0,0,0,0,1,0
"Block 3010, Block Group 3, Census Tract 102, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1000, Block Group 1, Census Tract 103, San Francisco County, California",29,0,29,26,22,0,0,4,0,0,3
"Block 1001, Block Group 1, Census Tract 103, San Francisco County, California",99,3,96,96,58,0,0,37,0,1,3
"Block 1002, Block Group 1, Census Tract 103, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1003, Block Group 1, Census Tract 103, San Francisco County, California",62,4,58,60,51,0,0,7,0,2,2
"Block 1004, Block Group 1, Census Tract 103, San Francisco County, California",52,3,49,47,37,0,0,10,0,0,5
"Block 1005, Block Group 1, Census Tract 103, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1006, Block Group 1, Census Tract 103, San Francisco County, California",79,7,72,76,74,0,0,1,0,1,3
"Block 1007, Block Group 1, Census Tract 103, San Francisco County, California",214,11,203,212,127,2,1,79,0,3,2
"Block 1008, Block Group 1, Census Tract 103, San Francisco County, California",111,16,95,102,57,7,1,29,2,6,9
"Block 1009, Block Group 1, Census Tract 103, San Francisco County, California",49,3,46,47,40,0,0,6,0,1,2
"Block 1010, Block Group 1, Census Tract 103, San Francisco County, California",114,5,109,113,59,0,0,54,0,0,1
"Block 1011, Block Group 1, Census Tract 103, San Francisco County, California",230,23,207,220,153,3,0,55,1,8,10
"Block 1012, Block Group 1, Census Tract 103, San Francisco County, California",296,4,292,292,149,0,0,142,0,1,4
"Block 1013, Block Group 1, Census Tract 103, San Francisco County, California",202,5,197,198,176,3,1,17,0,1,4
"Block 2000, Block Group 2, Census Tract 103, San Francisco County, California",195,16,179,193,82,0,0,99,1,11,2
"Block 2001, Block Group 2, Census Tract 103, San Francisco County, California",146,12,134,141,66,5,0,69,0,1,5
"Block 2002, Block Group 2, Census Tract 103, San Francisco County, California",129,1,128,125,39,2,0,84,0,0,4
"Block 2003, Block Group 2, Census Tract 103, San Francisco County, California",197,9,188,197,169,1,1,24,0,2,0
"Block 2004, Block Group 2, Census Tract 103, San Francisco County, California",168,9,159,161,86,1,0,70,0,4,7
"Block 2005, Block Group 2, Census Tract 103, San Francisco County, California",311,13,298,301,149,0,0,150,0,2,10
"Block 3000, Block Group 3, Census Tract 103, San Francisco County, California",287,16,271,268,145,1,0,116,0,6,19
"Block 3001, Block Group 3, Census Tract 103, San Francisco County, California",111,3,108,109,91,0,0,18,0,0,2
"Block 3002, Block Group 3, Census Tract 103, San Francisco County, California",198,14,184,195,150,3,0,39,0,3,3
"Block 3003, Block Group 3, Census Tract 103, San Francisco County, California",36,0,36,36,29,0,0,7,0,0,0
"Block 3004, Block Group 3, Census Tract 103, San Francisco County, California",42,2,40,42,27,0,0,13,0,2,0
"Block 3005, Block Group 3, Census Tract 103, San Francisco County, California",168,4,164,167,145,5,0,17,0,0,1
"Block 3006, Block Group 3, Census Tract 103, San Francisco County, California",133,6,127,127,110,1,1,13,0,2,6
"Block 3007, Block Group 3, Census Tract 103, San Francisco County, California",194,9,185,188,169,2,0,16,0,1,6
"Block 1000, Block Group 1, Census Tract 104, San Francisco County, California",292,15,277,281,101,2,3,168,0,7,11
"Block 1001, Block Group 1, Census Tract 104, San Francisco County, California",182,3,179,175,91,5,0,79,0,0,7
"Block 1002, Block Group 1, Census Tract 104, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1003, Block Group 1, Census Tract 104, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1004, Block Group 1, Census Tract 104, San Francisco County, California",49,1,48,49,12,0,0,35,0,2,0
"Block 1005, Block Group 1, Census Tract 104, San Francisco County, California",107,6,101,107,32,1,0,74,0,0,0
"Block 2000, Block Group 2, Census Tract 104, San Francisco County, California",262,24,238,244,194,0,0,45,0,5,18
"Block 2001, Block Group 2, Census Tract 104, San Francisco County, California",280,10,270,259,188,4,0,66,0,1,21
"Block 2002, Block Group 2, Census Tract 104, San Francisco County, California",311,12,299,302,181,2,0,113,1,5,9
"Block 2003, Block Group 2, Census Tract 104, San Francisco County, California",255,17,238,248,194,5,0,45,0,4,7
"Block 2004, Block Group 2, Census Tract 104, San Francisco County, California",211,7,204,211,125,5,0,80,0,1,0
"Block 2005, Block Group 2, Census Tract 104, San Francisco County, California",176,16,160,171,103,2,0,65,0,1,5
"Block 2006, Block Group 2, Census Tract 104, San Francisco County, California",130,4,126,125,68,1,0,55,0,1,5
"Block 2007, Block Group 2, Census Tract 104, San Francisco County, California",27,2,25,26,19,0,0,3,0,4,1
"Block 3000, Block Group 3, Census Tract 104, San Francisco County, California",302,8,294,296,203,8,0,82,0,3,6
"Block 3001, Block Group 3, Census Tract 104, San Francisco County, California",69,0,69,64,57,0,0,7,0,0,5
"Block 3002, Block Group 3, Census Tract 104, San Francisco County, California",141,11,130,129,121,2,0,5,0,1,12
"Block 3003, Block Group 3, Census Tract 104, San Francisco County, California",3,1,2,3,2,0,0,0,0,1,0
"Block 3004, Block Group 3, Census Tract 104, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3005, Block Group 3, Census Tract 104, San Francisco County, California",67,3,64,65,56,0,0,4,4,1,2
"Block 3006, Block Group 3, Census Tract 104, San Francisco County, California",110,2,108,109,104,0,1,3,1,0,1
"Block 3007, Block Group 3, Census Tract 104, San Francisco County, California",69,3,66,67,63,2,0,2,0,0,2
"Block 3008, Block Group 3, Census Tract 104, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3009, Block Group 3, Census Tract 104, San Francisco County, California",24,0,24,24,20,0,0,4,0,0,0
"Block 3010, Block Group 3, Census Tract 104, San Francisco County, California",93,6,87,90,69,0,0,18,0,3,3
"Block 3011, Block Group 3, Census Tract 104, San Francisco County, California",88,8,80,88,73,0,0,15,0,0,0
"Block 3012, Block Group 3, Census Tract 104, San Francisco County, California",189,12,177,183,117,0,0,65,1,0,6
"Block 3013, Block Group 3, Census Tract 104, San Francisco County, California",232,18,214,226,186,2,0,37,0,1,6
"Block 3014, Block Group 3, Census Tract 104, San Francisco County, California",62,3,59,59,53,0,0,6,0,0,3
"Block 4000, Block Group 4, Census Tract 104, San Francisco County, California",75,4,71,73,67,1,0,4,0,1,2
"Block 4001, Block Group 4, Census Tract 104, San Francisco County, California",114,4,110,111,89,0,0,22,0,0,3
"Block 4002, Block Group 4, Census Tract 104, San Francisco County, California",164,9,155,159,95,3,0,61,0,0,5
"Block 4003, Block Group 4, Census Tract 104, San Francisco County, California",310,22,288,304,222,0,0,69,0,13,6
"Block 4004, Block Group 4, Census Tract 104, San Francisco County, California",151,8,143,148,109,1,0,38,0,0,3
"Block 1000, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1001, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1002, Block Group 1, Census Tract 105, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
